#proc cat nGausRV nGausWV
InsideAcceptance_genPt_0p0_15p0 recoPt_30p0_45p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_0p0_15p0 recoPt_45p0_85p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_0p0_15p0 recoPt_85p0_125p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_0p0_15p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_125p0_200p0_SigmaMpTTag_0 2 1
InsideAcceptance_genPt_125p0_200p0 recoPt_15p0_30p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_200p0_350p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_350p0_10000p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_30p0_45p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_45p0_85p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_85p0_125p0_SigmaMpTTag_0 1 1
InsideAcceptance_genPt_125p0_200p0 recoPt_0p0_15p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_125p0_200p0_SigmaMpTTag_1 3 1
InsideAcceptance_genPt_125p0_200p0 recoPt_15p0_30p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_200p0_350p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_350p0_10000p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_30p0_45p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_45p0_85p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_85p0_125p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_0p0_15p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_125p0_200p0_SigmaMpTTag_2 2 1
InsideAcceptance_genPt_125p0_200p0 recoPt_15p0_30p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_200p0_350p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_350p0_10000p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_30p0_45p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_45p0_85p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_125p0_200p0 recoPt_85p0_125p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_0p0_15p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_125p0_200p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_15p0_30p0_SigmaMpTTag_0 3 3
InsideAcceptance_genPt_15p0_30p0 recoPt_200p0_350p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_350p0_10000p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_30p0_45p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_45p0_85p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_85p0_125p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_0p0_15p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_125p0_200p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_15p0_30p0_SigmaMpTTag_1 3 1
InsideAcceptance_genPt_15p0_30p0 recoPt_200p0_350p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_350p0_10000p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_30p0_45p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_45p0_85p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_85p0_125p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_0p0_15p0_SigmaMpTTag_2 1 1
InsideAcceptance_genPt_15p0_30p0 recoPt_125p0_200p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_15p0_30p0_SigmaMpTTag_2 3 1
InsideAcceptance_genPt_15p0_30p0 recoPt_200p0_350p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_350p0_10000p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_30p0_45p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_45p0_85p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_15p0_30p0 recoPt_85p0_125p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_0p0_15p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_125p0_200p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_15p0_30p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_200p0_350p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_30p0_45p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_350p0_10000p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_45p0_85p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_85p0_125p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_0p0_15p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_125p0_200p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_15p0_30p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_200p0_350p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_30p0_45p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_350p0_10000p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_45p0_85p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_85p0_125p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_0p0_15p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_125p0_200p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_15p0_30p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_200p0_350p0_SigmaMpTTag_2 2 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_30p0_45p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_350p0_10000p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_45p0_85p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_85p0_125p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_0p0_15p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_125p0_200p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_15p0_30p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_200p0_350p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_350p0_10000p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_0 3 1
InsideAcceptance_genPt_30p0_45p0 recoPt_45p0_85p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_85p0_125p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_0p0_15p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_125p0_200p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_15p0_30p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_200p0_350p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_350p0_10000p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_1 2 1
InsideAcceptance_genPt_30p0_45p0 recoPt_45p0_85p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_85p0_125p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_0p0_15p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_125p0_200p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_15p0_30p0_SigmaMpTTag_2 1 1
InsideAcceptance_genPt_30p0_45p0 recoPt_200p0_350p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_350p0_10000p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 3 1
InsideAcceptance_genPt_30p0_45p0 recoPt_45p0_85p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_30p0_45p0 recoPt_85p0_125p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_0p0_15p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_125p0_200p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_15p0_30p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_200p0_350p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_30p0_45p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_350p0_10000p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_45p0_85p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_85p0_125p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_0p0_15p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_125p0_200p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_15p0_30p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_200p0_350p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_30p0_45p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_350p0_10000p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_45p0_85p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_85p0_125p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_0p0_15p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_125p0_200p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_15p0_30p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_200p0_350p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_30p0_45p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_350p0_10000p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_45p0_85p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_85p0_125p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_0p0_15p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_125p0_200p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_15p0_30p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_200p0_350p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_350p0_10000p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_30p0_45p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_45p0_85p0_SigmaMpTTag_0 2 1
InsideAcceptance_genPt_45p0_85p0 recoPt_85p0_125p0_SigmaMpTTag_0 1 1
InsideAcceptance_genPt_45p0_85p0 recoPt_0p0_15p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_125p0_200p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_15p0_30p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_200p0_350p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_350p0_10000p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_30p0_45p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_45p0_85p0_SigmaMpTTag_1 2 1
InsideAcceptance_genPt_45p0_85p0 recoPt_85p0_125p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_0p0_15p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_125p0_200p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_15p0_30p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_200p0_350p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_350p0_10000p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_30p0_45p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genPt_45p0_85p0 recoPt_45p0_85p0_SigmaMpTTag_2 2 1
InsideAcceptance_genPt_45p0_85p0 recoPt_85p0_125p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_0p0_15p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_125p0_200p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_15p0_30p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_200p0_350p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_350p0_10000p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_30p0_45p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_45p0_85p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_85p0_125p0_SigmaMpTTag_0 3 1
InsideAcceptance_genPt_85p0_125p0 recoPt_0p0_15p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_125p0_200p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_15p0_30p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_200p0_350p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_350p0_10000p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_30p0_45p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_45p0_85p0_SigmaMpTTag_1 1 1
InsideAcceptance_genPt_85p0_125p0 recoPt_85p0_125p0_SigmaMpTTag_1 3 2
InsideAcceptance_genPt_85p0_125p0 recoPt_0p0_15p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_125p0_200p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_15p0_30p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_200p0_350p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_350p0_10000p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_30p0_45p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_45p0_85p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genPt_85p0_125p0 recoPt_85p0_125p0_SigmaMpTTag_2 3 2
OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_0 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_125p0_200p0_SigmaMpTTag_0 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_15p0_30p0_SigmaMpTTag_0 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_200p0_350p0_SigmaMpTTag_0 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_350p0_10000p0_SigmaMpTTag_0 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_30p0_45p0_SigmaMpTTag_0 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_45p0_85p0_SigmaMpTTag_0 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_85p0_125p0_SigmaMpTTag_0 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_1 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_125p0_200p0_SigmaMpTTag_1 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_15p0_30p0_SigmaMpTTag_1 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_200p0_350p0_SigmaMpTTag_1 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_350p0_10000p0_SigmaMpTTag_1 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_30p0_45p0_SigmaMpTTag_1 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_45p0_85p0_SigmaMpTTag_1 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_85p0_125p0_SigmaMpTTag_1 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2 -1 1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_125p0_200p0_SigmaMpTTag_2 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_15p0_30p0_SigmaMpTTag_2 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_200p0_350p0_SigmaMpTTag_2 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_350p0_10000p0_SigmaMpTTag_2 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_30p0_45p0_SigmaMpTTag_2 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_45p0_85p0_SigmaMpTTag_2 1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2
OutsideAcceptance recoPt_85p0_125p0_SigmaMpTTag_2 -1 -1 InsideAcceptance_genPt_30p0_45p0 recoPt_30p0_45p0_SigmaMpTTag_2 OutsideAcceptance recoPt_0p0_15p0_SigmaMpTTag_2

#OutsideAcceptance SigmaMpTTag_0_recoPt_0p0_15p0 -1 -1 OutsideAcceptance SigmaMpTTag_2_recoPt_45p0_85p0 OutsideAcceptance SigmaMpTTag_2_recoPt_0p0_15p0
#OutsideAcceptance SigmaMpTTag_0_recoPt_125p0_200p0 -1 -1 OutsideAcceptance SigmaMpTTag_2_recoPt_45p0_85p0 OutsideAcceptance SigmaMpTTag_2_recoPt_0p0_15p0
#OutsideAcceptance SigmaMpTTag_0_recoPt_15p0_30p0 -1 -1 OutsideAcceptance SigmaMpTTag_2_recoPt_45p0_85p0 OutsideAcceptance SigmaMpTTag_2_recoPt_0p0_15p0
#OutsideAcceptance SigmaMpTTag_0_recoPt_200p0_10000p0 -1 -1 OutsideAcceptance SigmaMpTTag_2_recoPt_45p0_85p0 OutsideAcceptance SigmaMpTTag_2_recoPt_0p0_15p0
#OutsideAcceptance SigmaMpTTag_0_recoPt_30p0_45p0 -1 -1 OutsideAcceptance SigmaMpTTag_2_recoPt_45p0_85p0 OutsideAcceptance SigmaMpTTag_2_recoPt_0p0_15p0
#OutsideAcceptance SigmaMpTTag_0_recoPt_45p0_85p0 -1 -1 OutsideAcceptance SigmaMpTTag_2_recoPt_45p0_85p0 OutsideAcceptance SigmaMpTTag_2_recoPt_0p0_15p0
#OutsideAcceptance SigmaMpTTag_0_recoPt_85p0_125p0 -1 -1 OutsideAcceptance SigmaMpTTag_2_recoPt_45p0_85p0 OutsideAcceptance SigmaMpTTag_2_recoPt_0p0_15p0
#OutsideAcceptance SigmaMpTTag_1_recoPt_0p0_15p0 -1 -1 OutsideAcceptance SigmaMpTTag_2_recoPt_45p0_85p0 OutsideAcceptance SigmaMpTTag_2_recoPt_0p0_15p0
#OutsideAcceptance SigmaMpTTag_1_recoPt_125p0_200p0 -1 -1 OutsideAcceptance SigmaMpTTag_2_recoPt_45p0_85p0 OutsideAcceptance SigmaMpTTag_2_recoPt_0p0_15p0
#OutsideAcceptance SigmaMpTTag_1_recoPt_15p0_30p0 -1 -1 OutsideAcceptance SigmaMpTTag_2_recoPt_45p0_85p0 OutsideAcceptance SigmaMpTTag_2_recoPt_0p0_15p0
